School Year,Topic,Grade,District,Proficient,Total
2020,Reading,4,18,13.0,17.0
2020,Math,3,5049,213.0,298.0
2022,Math,8,3168,52.0,58.0
2020,Reading,11,4269,29.0,38.0
2020,Reading,7,6099,33.0,42.0
2019,Reading,7,6035,15.0,23.0
2023,Reading,4,5994,23.0,44.0
2017,Reading,11,1619,59.0,76.0
2020,Reading,6,1080,27.0,32.0
2022,Reading,4,5184,82.0,111.0
2024,Reading,6,2349,43.0,73.0
2024,Reading,5,6100,21.0,28.0
2021,Reading,6,6579,207.0,266.0
2019,Reading,8,2754,41.0,45.0
2016,Reading,8,6660,118.0,171.0
2016,Reading,4,4772,33.0,46.0
2016,Math,8,2367,10.0,13.0
2025,Math,10,3348,38.0,44.0
2017,Math,6,6091,23.0,34.0
2017,Math,5,2322,116.0,147.0
2022,Math,3,6094,25.0,32.0
2018,Reading,8,3375,116.0,157.0
2017,Math,4,594,36.0,43.0
2024,Reading,6,6100,18.0,30.0
2021,Reading,4,6460,42.0,50.0
2021,Reading,4,5616,42.0,55.0
2023,Math,8,2403,59.0,74.0
2023,Reading,8,5922,29.0,52.0
2017,Math,7,1963,30.0,35.0
2021,Reading,6,6983,35.0,42.0
2015,Math,8,6992,33.0,46.0
2019,Math,3,2826,80.0,106.0
2022,Reading,7,4023,37.0,48.0
2019,Reading,4,6633,15.0,17.0
2025,Reading,7,7110,36.0,50.0
2022,Reading,3,5049,191.0,320.0
2021,Math,7,2376,35.0,42.0
2021,Math,8,2113,18.0,27.0
2019,Math,6,6165,16.0,18.0
2015,Reading,8,2772,23.0,34.0
2021,Math,6,5697,27.0,37.0
2016,Reading,8,3204,39.0,52.0
2019,Reading,5,3744,36.0,50.0
2020,Reading,5,6035,21.0,28.0
2020,Math,7,5163,33.0,49.0
2018,Reading,7,2367,12.0,15.0
2018,Math,6,1152,52.0,74.0
2016,Reading,11,3600,122.0,166.0
2020,Math,6,6097,5.0,11.0
2014,Reading,4,6093,75.0,93.0
2022,Math,5,3330,17.0,21.0
2023,Math,6,6264,43.0,52.0
2025,Math,4,3042,43.0,52.0
2014,Reading,11,6175,42.0,53.0
2019,Reading,7,846,25.0,41.0
2017,Reading,6,4041,71.0,96.0
2023,Reading,3,4581,294.0,366.0
2024,Math,4,6768,58.0,91.0
2021,Reading,6,2766,17.0,25.0
2020,Math,8,6417,14.0,22.0
2022,Math,3,576,31.0,37.0
2015,Math,11,2727,52.0,66.0
2017,Reading,7,1093,34.0,49.0
2019,Math,4,5895,7.0,10.0
2019,Reading,4,6867,82.0,105.0
2018,Reading,8,4779,59.0,78.0
2018,Reading,8,4778,13.0,17.0
2014,Math,11,6175,47.0,53.0
2021,Reading,5,6921,21.0,25.0
2017,Reading,4,819,36.0,49.0
2017,Math,7,6098,74.0,125.0
2021,Math,8,5616,41.0,54.0
2020,Reading,3,1854,8.0,10.0
2023,Reading,8,6003,19.0,21.0
2017,Math,8,4788,27.0,39.0
2018,Math,7,6750,12.0,23.0
2021,Reading,7,1917,21.0,31.0
2022,Reading,4,1503,56.0,83.0
2014,Reading,11,423,17.0,22.0
2023,Math,5,3798,44.0,48.0
2021,Reading,5,6460,35.0,51.0
2017,Math,8,6097,16.0,22.0
2020,Reading,11,1967,13.0,25.0
2023,Reading,3,1221,102.0,132.0
2021,Math,3,4491,15.0,27.0
2019,Reading,3,621,250.0,291.0
2023,Reading,5,6039,610.0,922.0
2021,Reading,11,2466,65.0,78.0
2020,Reading,11,252,22.0,25.0
2018,Reading,7,6512,31.0,43.0
2024,Math,5,7029,41.0,50.0
2019,Reading,3,3231,359.0,410.0
2020,Reading,7,333,19.0,24.0
2014,Reading,8,1737,1144.0,2112.0
2018,Reading,3,6961,112.0,135.0
2023,Math,11,6100,52.0,60.0
2014,Reading,8,6030,55.0,65.0
2015,Math,4,4995,63.0,76.0
2025,Reading,8,4536,112.0,143.0
2017,Reading,8,3609,18.0,21.0
2020,Reading,6,6795,382.0,722.0
2023,Math,4,5463,53.0,73.0
2023,Math,5,5325,35.0,45.0
2024,Math,3,3798,39.0,39.0
2024,Math,11,1926,40.0,56.0
2019,Math,3,4689,25.0,36.0
2021,Math,11,936,50.0,57.0
2020,Reading,11,6138,25.0,32.0
2023,Reading,11,1278,198.0,234.0
2018,Reading,4,3841,41.0,59.0
2014,Reading,4,1044,234.0,258.0
2015,Reading,4,2151,11.0,16.0
2021,Math,7,6512,23.0,26.0
2020,Math,11,4536,114.0,157.0
2015,Reading,8,99,31.0,46.0
2017,Reading,8,4086,99.0,156.0
2022,Reading,5,1095,38.0,39.0
2024,Math,8,6943,15.0,18.0
2014,Math,8,108,14.0,21.0
2020,Reading,11,3114,204.0,248.0
2018,Math,6,4890,40.0,56.0
2019,Reading,8,3841,42.0,77.0
2023,Reading,5,4995,50.0,60.0
2019,Reading,11,4784,185.0,231.0
2016,Math,11,6264,50.0,70.0
2018,Math,6,333,17.0,24.0
2019,Math,11,6969,28.0,39.0
2014,Math,11,5616,25.0,36.0
2022,Math,6,1206,62.0,79.0
2015,Reading,11,261,350.0,384.0
2014,Reading,8,1359,35.0,57.0
2023,Math,7,2088,41.0,52.0
2017,Reading,8,1134,18.0,25.0
2022,Math,3,6417,9.0,13.0
2021,Reading,8,1082,85.0,115.0
2021,Math,7,6762,31.0,41.0
2021,Reading,8,1211,66.0,91.0
2025,Reading,5,1953,36.0,42.0
2022,Reading,3,4269,20.0,24.0
2023,Math,8,4787,16.0,17.0
2017,Reading,3,2349,18.0,20.0
2015,Reading,4,7098,32.0,40.0
2018,Reading,6,2466,68.0,78.0
2015,Reading,4,5463,51.0,77.0
2020,Math,5,5868,10.0,13.0
2018,Math,5,6795,460.0,689.0
2024,Reading,5,3119,40.0,56.0
2018,Reading,7,6950,84.0,98.0
2024,Reading,8,6093,66.0,87.0
2020,Math,11,1967,15.0,25.0
2018,Math,5,4599,46.0,56.0
2018,Math,6,4581,276.0,351.0
2023,Math,6,2457,23.0,33.0
2024,Math,3,4774,42.0,46.0
2017,Math,3,3978,23.0,28.0
2020,Math,8,4212,28.0,33.0
2020,Reading,3,261,472.0,583.0
2019,Math,8,1963,20.0,33.0
2023,Reading,7,4086,95.0,141.0
2015,Math,4,1576,87.0,100.0
2018,Reading,8,2846,15.0,18.0
2019,Math,11,1967,17.0,27.0
2017,Math,7,4777,50.0,59.0
2022,Reading,11,3231,342.0,389.0
2022,Math,3,333,21.0,23.0
2023,Math,7,243,7.0,14.0
2017,Math,4,6957,533.0,618.0
2018,Reading,3,5607,47.0,55.0
2023,Math,3,999,97.0,109.0
2021,Reading,11,6854,45.0,52.0
2017,Reading,6,4554,61.0,81.0
2017,Reading,11,2754,37.0,45.0
2016,Math,11,2664,33.0,36.0
2018,Math,4,4023,23.0,31.0
2017,Math,3,18,14.0,19.0
2022,Math,6,441,43.0,49.0
2020,Math,8,2834,19.0,24.0
2019,Reading,3,252,11.0,13.0
2025,Reading,6,1218,14.0,17.0
2025,Math,5,5139,11.0,13.0
2022,Reading,8,6219,77.0,131.0
2017,Math,7,6957,585.0,676.0
2022,Math,11,3186,20.0,21.0
2023,Math,6,4689,25.0,35.0
2020,Reading,5,2007,25.0,31.0
2025,Math,8,4773,71.0,73.0
2017,Math,8,6462,24.0,28.0
2015,Math,8,6975,42.0,66.0
2018,Reading,3,99,34.0,44.0
2023,Reading,3,4788,27.0,38.0
2021,Math,5,4131,212.0,286.0
2024,Reading,6,6840,104.0,144.0
2021,Reading,5,1737,1401.0,2061.0
2015,Reading,4,472,74.0,94.0
2019,Math,8,5121,38.0,49.0
2017,Math,11,1963,36.0,42.0
2017,Math,3,2754,31.0,33.0
2022,Reading,6,4122,18.0,34.0
2018,Reading,6,6534,50.0,61.0
2017,Math,7,6039,638.0,997.0
2024,Math,8,2322,93.0,137.0
2018,Math,4,4774,52.0,64.0
2017,Reading,11,4751,19.0,21.0
2024,Math,6,873,13.0,29.0
2014,Reading,8,7002,16.0,22.0
2025,Reading,3,441,20.0,27.0
2014,Reading,11,2007,50.0,63.0
2023,Reading,8,4784,159.0,221.0
2022,Math,6,2502,20.0,27.0
2018,Reading,3,6983,36.0,43.0
2025,Reading,3,1080,27.0,33.0
2014,Reading,8,6101,228.0,308.0
2023,Reading,4,6102,88.0,103.0
2022,Reading,6,6120,90.0,106.0
2022,Reading,7,1211,66.0,90.0
2020,Reading,6,1970,14.0,17.0
2022,Reading,6,1233,52.0,72.0
2024,Math,5,6099,32.0,38.0
2019,Reading,4,4662,48.0,70.0
2018,Math,5,4890,41.0,51.0
2017,Reading,6,7002,10.0,15.0
2014,Math,11,1062,61.0,79.0
2023,Math,5,6921,18.0,24.0
2016,Reading,8,936,50.0,83.0
2024,Reading,4,4662,50.0,67.0
2019,Reading,5,5868,11.0,11.0
2016,Reading,11,5643,68.0,84.0
2014,Math,4,5163,38.0,48.0
2024,Math,8,3105,73.0,95.0
2018,Reading,8,3114,186.0,219.0
2024,Reading,3,6561,16.0,17.0
2019,Math,6,2754,36.0,46.0
2022,Reading,4,609,90.0,98.0
2025,Reading,4,4203,45.0,48.0
2018,Reading,8,3537,27.0,41.0
2018,Reading,11,4203,63.0,73.0
2024,Reading,7,3042,35.0,50.0
2023,Reading,6,4491,11.0,20.0
2017,Math,4,4785,29.0,32.0
2020,Math,8,4122,35.0,43.0
2020,Reading,8,5895,10.0,16.0
2020,Math,8,5877,83.0,108.0
2025,Math,6,2313,157.0,238.0
2019,Math,4,2088,28.0,39.0
2024,Reading,6,5508,10.0,17.0
2022,Math,6,3942,45.0,53.0
2015,Reading,11,333,15.0,20.0
2015,Reading,4,4662,67.0,79.0
2024,Reading,3,3645,145.0,218.0
2015,Reading,8,5463,63.0,94.0
2025,Math,8,7038,36.0,48.0
2019,Math,5,1701,70.0,109.0
2022,Math,3,4860,22.0,27.0
2023,Reading,4,4122,27.0,31.0
2015,Reading,11,6840,133.0,172.0
2022,Reading,7,1719,50.0,57.0
2020,Reading,8,873,35.0,43.0
2023,Reading,8,3744,21.0,33.0
2023,Reading,3,5949,53.0,65.0
2018,Reading,4,916,15.0,21.0
2019,Reading,4,603,11.0,14.0
2019,Reading,6,4271,61.0,98.0
2018,Reading,11,225,75.0,96.0
2018,Math,11,2376,46.0,55.0
2014,Reading,4,6969,25.0,37.0
2022,Math,11,1953,41.0,48.0
2016,Math,8,4644,22.0,30.0
2020,Math,7,4644,21.0,22.0
2014,Math,4,6471,43.0,52.0
2023,Reading,6,999,104.0,133.0
2014,Reading,4,3600,146.0,182.0
2025,Math,4,1431,25.0,32.0
2023,Reading,7,3978,21.0,33.0
2022,Reading,11,1638,120.0,130.0
2019,Reading,3,3645,141.0,194.0
2017,Reading,3,5013,122.0,142.0
2017,Math,3,2097,33.0,38.0
2022,Math,4,6961,174.0,197.0
2021,Math,8,1116,113.0,154.0
2023,Math,8,513,27.0,32.0
2018,Reading,5,1413,20.0,27.0
2019,Math,5,4662,51.0,56.0
2022,Reading,8,4356,43.0,54.0
2018,Math,5,999,101.0,113.0
2018,Math,7,5508,21.0,25.0
2022,Reading,7,6120,76.0,91.0
2016,Math,4,1503,69.0,89.0
2022,Math,7,4086,109.0,126.0
2025,Reading,5,6460,49.0,58.0
2020,Math,4,585,27.0,32.0
2023,Math,4,5337,31.0,31.0
2019,Math,3,5643,53.0,59.0
2021,Reading,4,999,104.0,124.0
2024,Math,6,936,55.0,66.0
2025,Reading,4,999,96.0,112.0
2021,Math,4,7047,23.0,30.0
2023,Math,8,936,66.0,80.0
2017,Reading,3,7038,42.0,51.0
2022,Math,5,3195,73.0,85.0
2023,Math,5,6096,28.0,41.0
2025,Math,4,1611,750.0,1108.0
2024,Math,7,5805,47.0,84.0
2024,Reading,3,6003,14.0,15.0
2025,Math,5,2295,67.0,73.0
2017,Math,3,3186,17.0,18.0
2017,Reading,6,6003,18.0,24.0
2020,Reading,11,3609,19.0,22.0
2023,Reading,8,6937,30.0,51.0
2020,Reading,6,4797,135.0,166.0
2017,Reading,5,1337,234.0,272.0
2020,Math,7,3105,72.0,91.0
2018,Reading,4,873,23.0,34.0
2025,Math,4,4775,10.0,14.0
2023,Reading,3,1926,35.0,45.0
2024,Math,7,4554,80.0,94.0
2023,Math,11,1972,21.0,30.0
2014,Math,8,6100,35.0,47.0
2024,Reading,6,2556,16.0,27.0
2024,Math,7,2466,94.0,98.0
2014,Math,8,2834,27.0,44.0
2025,Reading,4,3204,61.0,76.0
2019,Math,6,5301,10.0,13.0
2019,Reading,5,6579,187.0,235.0
2024,Reading,6,5160,53.0,83.0
2018,Reading,4,4086,107.0,128.0
2025,Math,7,387,91.0,100.0
2023,Math,5,3465,14.0,16.0
2019,Reading,3,819,33.0,47.0
2020,Reading,6,1095,26.0,33.0
2020,Reading,6,1944,40.0,60.0
2015,Math,4,2862,35.0,44.0
2025,Math,6,6094,18.0,26.0
2019,Math,4,4777,41.0,48.0
2019,Math,3,4785,31.0,35.0
2018,Reading,3,4518,15.0,18.0
2024,Reading,6,1368,30.0,47.0
2022,Reading,3,6453,48.0,50.0
2016,Reading,11,1926,41.0,53.0
2015,Reading,4,4527,30.0,35.0
2022,Reading,6,3330,10.0,15.0
2025,Reading,11,1953,35.0,42.0
2019,Math,3,6534,45.0,61.0
2021,Reading,4,5310,29.0,43.0
2024,Reading,5,1970,21.0,28.0
2016,Reading,11,6097,18.0,20.0
2021,Math,6,6633,12.0,18.0
2021,Reading,8,6012,27.0,41.0
2018,Reading,7,6762,39.0,56.0
2015,Reading,8,1278,192.0,305.0
2023,Math,5,5823,8.0,16.0
2023,Math,5,6741,41.0,70.0
2017,Reading,8,1576,102.0,124.0
2014,Math,11,5823,32.0,37.0
2022,Math,7,2313,177.0,253.0
2017,Reading,5,2766,17.0,23.0
2020,Reading,7,18,24.0,26.0
2021,Reading,4,4437,30.0,38.0
2019,Reading,5,5877,84.0,98.0
2021,Reading,3,2763,27.0,36.0
2023,Math,8,3204,34.0,67.0
2017,Math,3,6854,25.0,30.0
2017,Reading,4,1449,11.0,15.0
2023,Math,5,4269,26.0,34.0
2020,Reading,3,3114,192.0,233.0
2016,Math,4,2205,14.0,19.0
2019,Reading,6,1963,24.0,38.0
2023,Math,11,18,26.0,29.0
2021,Math,6,6983,36.0,42.0
2017,Math,7,1989,36.0,44.0
2020,Math,4,4644,22.0,26.0
2024,Math,7,4518,9.0,11.0
2017,Reading,3,6768,75.0,116.0
2023,Reading,8,3105,48.0,83.0
2019,Math,6,4689,30.0,40.0
2021,Reading,7,6957,531.0,635.0
2015,Reading,8,4617,94.0,112.0
2016,Reading,4,4905,14.0,17.0
2018,Math,6,6930,44.0,58.0
2022,Reading,4,6408,48.0,57.0
2017,Reading,8,135,93.0,124.0
2021,Reading,11,6093,76.0,93.0
2020,Math,7,7110,30.0,36.0
2025,Math,4,6408,54.0,65.0
2024,Math,7,6175,46.0,49.0
2022,Math,5,441,36.0,45.0
2025,Reading,7,6093,84.0,96.0
2017,Math,5,3204,38.0,53.0
2016,Reading,4,5724,14.0,15.0
2022,Reading,3,5751,29.0,32.0
2025,Reading,10,6098,70.0,80.0
2020,Reading,7,3465,22.0,30.0
2022,Reading,4,6264,42.0,50.0
2024,Reading,3,5337,25.0,29.0
2014,Reading,11,1215,22.0,27.0
2023,Math,5,423,12.0,14.0
2019,Math,7,5250,203.0,228.0
2019,Reading,5,6509,25.0,35.0
2018,Reading,8,3204,58.0,73.0
2019,Math,3,1079,42.0,54.0
2023,Math,5,6165,17.0,19.0
2015,Reading,4,6035,24.0,31.0
2021,Reading,8,6460,33.0,56.0
2017,Reading,7,504,39.0,51.0
2020,Math,7,2313,201.0,249.0
2024,Reading,4,2727,31.0,44.0
2019,Reading,3,225,212.0,250.0
2021,Reading,6,6975,45.0,68.0
2022,Math,8,5049,214.0,295.0
2020,Reading,3,1368,30.0,60.0
2019,Math,8,5994,50.0,61.0
2023,Math,5,846,40.0,47.0
2017,Math,4,6750,13.0,16.0
2019,Reading,8,6579,212.0,255.0
2018,Math,5,2169,101.0,121.0
2025,Math,7,936,58.0,64.0
2018,Math,3,27,84.0,104.0
2019,Math,4,4446,54.0,60.0
2021,Math,3,4761,21.0,25.0
2017,Math,4,2502,32.0,39.0
2017,Math,6,2862,31.0,47.0
2022,Reading,8,977,37.0,49.0
2017,Reading,8,2682,32.0,36.0
2024,Reading,7,4777,34.0,45.0
2021,Reading,3,6012,31.0,40.0
2025,Math,4,4131,199.0,266.0
2018,Math,3,3600,110.0,137.0
2018,Reading,3,1082,80.0,100.0
2014,Math,8,1917,30.0,46.0
2014,Math,11,4356,62.0,71.0
2025,Reading,3,6762,44.0,56.0
2018,Reading,3,6453,55.0,60.0
2023,Math,8,4419,54.0,68.0
2018,Reading,3,6759,45.0,60.0
2019,Reading,7,4014,34.0,37.0
2023,Reading,11,6840,152.0,165.0
2021,Math,8,5463,63.0,86.0
2016,Math,8,1908,25.0,36.0
2018,Math,8,5895,11.0,14.0
2015,Reading,8,4086,109.0,142.0
2019,Reading,7,2097,20.0,37.0
2018,Reading,5,747,33.0,38.0
2016,Reading,11,1968,42.0,51.0
2025,Reading,3,1332,32.0,40.0
2024,Math,4,3119,38.0,48.0
2021,Math,7,936,51.0,76.0
2021,Math,3,4777,48.0,53.0
2025,Reading,5,981,113.0,132.0
2022,Math,11,1093,34.0,45.0
2023,Math,7,4772,47.0,58.0
2024,Math,3,3600,110.0,125.0
2017,Reading,4,81,63.0,89.0
2020,Math,5,3204,55.0,77.0
2019,Reading,3,1917,21.0,31.0
2015,Math,11,6750,19.0,20.0
2023,Math,5,2403,56.0,58.0
2020,Reading,5,4662,64.0,67.0
2020,Math,5,5250,228.0,241.0
2025,Math,7,3186,26.0,26.0
2021,Math,6,6795,427.0,733.0
2021,Reading,3,1975,21.0,30.0
2021,Math,3,5742,26.0,40.0
2016,Reading,8,7047,19.0,33.0
2020,Reading,6,7047,15.0,23.0
2023,Reading,11,3978,41.0,45.0
2025,Math,6,261,665.0,721.0
2022,Math,7,4023,44.0,48.0
2020,Math,3,609,81.0,112.0
2022,Math,11,81,52.0,69.0
2022,Reading,5,4491,13.0,20.0
2023,Math,6,4644,25.0,38.0
2015,Reading,8,6509,30.0,49.0
2020,Reading,4,6273,30.0,37.0
2018,Math,7,4890,44.0,56.0
2022,Reading,7,5868,22.0,33.0
2019,Reading,4,819,32.0,46.0
2019,Reading,5,3312,117.0,153.0
2022,Math,8,4775,15.0,17.0
2025,Reading,10,5013,130.0,158.0
2022,Reading,5,2151,11.0,14.0
2025,Reading,4,5250,261.0,291.0
2023,Math,11,1967,12.0,17.0
2018,Math,5,4104,192.0,328.0
2021,Math,3,6273,26.0,44.0
2023,Reading,5,4043,41.0,50.0
2019,Math,3,4878,42.0,45.0
2023,Reading,6,5139,7.0,12.0
2025,Math,7,4518,12.0,14.0
2023,Math,6,4131,170.0,256.0
2023,Reading,8,6762,30.0,50.0
2025,Math,6,1368,31.0,51.0
2015,Reading,4,6592,40.0,48.0
2022,Math,8,585,32.0,50.0
2020,Reading,11,5325,51.0,55.0
2023,Math,7,4599,25.0,27.0
2019,Reading,5,171,23.0,31.0
2024,Reading,3,2862,34.0,39.0
2018,Math,6,1218,13.0,21.0
2018,Math,4,5922,29.0,29.0
2020,Math,8,4978,9.0,15.0
2025,Reading,6,1863,456.0,692.0
2020,Math,8,126,69.0,77.0
2018,Reading,3,720,72.0,88.0
2024,Math,4,135,72.0,95.0
2020,Reading,3,1071,72.0,99.0
2024,Reading,5,981,101.0,121.0
2018,Math,6,4978,10.0,15.0
2025,Reading,8,1093,26.0,39.0
2014,Math,11,5166,144.0,163.0
2023,Math,7,5724,16.0,18.0
2016,Math,11,4777,37.0,48.0
2020,Reading,4,916,15.0,17.0
2024,Math,5,3186,16.0,18.0
2019,Reading,6,2511,103.0,136.0
2018,Math,8,5486,19.0,27.0
2022,Math,3,5823,13.0,18.0
2023,Math,6,594,33.0,51.0
2017,Reading,7,2097,29.0,48.0
2025,Reading,11,2727,31.0,35.0
2024,Reading,7,2113,10.0,15.0
2020,Math,7,1611,675.0,976.0
2024,Math,3,4527,25.0,37.0
2024,Math,4,1972,15.0,21.0
2025,Reading,4,2727,42.0,54.0
2018,Reading,8,6867,97.0,123.0
2024,Math,8,1053,825.0,1128.0
2021,Math,7,2502,40.0,47.0
2023,Reading,7,3105,54.0,93.0
2021,Math,3,252,17.0,19.0
2025,Math,7,6651,16.0,19.0
2023,Math,4,2466,84.0,90.0
2017,Reading,3,5742,21.0,30.0
2022,Math,3,2673,41.0,45.0
2024,Reading,7,5250,245.0,299.0
2025,Reading,8,234,66.0,92.0
2014,Math,11,4599,57.0,73.0
2021,Math,5,6120,87.0,105.0
2017,Reading,3,4599,45.0,57.0
2025,Reading,8,4203,43.0,56.0
2017,Math,6,4773,37.0,42.0
2021,Math,5,3645,146.0,221.0
2020,Reading,8,3348,30.0,41.0
2025,Math,5,6633,14.0,19.0
2022,Math,5,4023,36.0,43.0
2018,Math,11,747,32.0,41.0
2021,Math,11,6822,246.0,283.0
2017,Math,6,72,11.0,15.0
2019,Math,6,153,34.0,40.0
2021,Math,8,5013,139.0,172.0
2016,Math,8,1701,106.0,134.0
2014,Reading,11,5868,20.0,26.0
2019,Reading,4,4869,44.0,65.0
2023,Math,3,3042,35.0,56.0
2022,Reading,11,126,67.0,89.0
2018,Math,3,1908,32.0,35.0
2019,Reading,8,6039,578.0,925.0
2018,Reading,11,1233,76.0,96.0
2019,Math,11,6012,30.0,54.0
2021,Math,5,2502,24.0,28.0
2023,Reading,3,6098,62.0,98.0
2021,Math,7,1611,676.0,1040.0
2023,Reading,4,977,20.0,36.0
2024,Math,6,819,33.0,38.0
2022,Reading,5,3150,69.0,84.0
2023,Math,3,3555,29.0,39.0
2019,Math,11,2016,22.0,29.0
2020,Math,6,4860,21.0,26.0
2021,Math,6,4978,10.0,12.0
2018,Math,7,1071,75.0,114.0
2023,Reading,4,5625,29.0,32.0
2025,Math,7,576,40.0,48.0
2024,Math,7,1278,157.0,246.0
2021,Math,6,261,549.0,607.0
2025,Reading,7,5607,39.0,46.0
2016,Math,8,1134,10.0,13.0
2021,Reading,11,4068,31.0,33.0
2020,Reading,11,585,50.0,61.0
2020,Math,4,333,17.0,21.0
2017,Math,8,6102,121.0,169.0
2019,Reading,5,6120,87.0,96.0
2022,Math,3,4662,50.0,61.0
2017,Reading,8,720,71.0,94.0
2014,Math,11,4131,233.0,298.0
2019,Math,6,1619,60.0,78.0
2014,Math,11,441,33.0,42.0
2018,Math,3,2673,40.0,51.0
2019,Reading,11,1044,259.0,309.0
2018,Math,6,1701,82.0,131.0
2020,Reading,8,4131,215.0,276.0
2021,Reading,8,6759,40.0,62.0
2022,Reading,11,6091,17.0,36.0
2016,Math,11,549,43.0,55.0
2022,Math,4,2754,29.0,30.0
2018,Math,4,2295,69.0,81.0
2025,Math,6,2709,104.0,120.0
2024,Reading,8,2457,28.0,36.0
2016,Math,8,819,41.0,54.0
2017,Reading,3,3609,16.0,20.0
2019,Math,8,1089,22.0,37.0
2020,Reading,3,4043,40.0,45.0
2024,Reading,8,472,84.0,128.0
2019,Math,8,4572,17.0,21.0
2021,Math,6,2376,29.0,33.0
2014,Reading,11,1080,40.0,59.0
2023,Reading,5,2376,27.0,31.0
2023,Math,6,4890,35.0,49.0
2016,Math,8,4491,14.0,20.0
2020,Reading,11,2718,41.0,51.0
2020,Reading,5,4860,17.0,18.0
2020,Reading,7,4068,21.0,29.0
2019,Math,5,3154,39.0,47.0
2022,Math,11,5486,18.0,24.0
2019,Math,11,2113,17.0,25.0
2022,Math,7,414,39.0,49.0
2022,Math,6,6943,14.0,18.0
2023,Reading,3,1963,36.0,47.0
2025,Math,11,3105,75.0,90.0
2017,Math,7,3330,34.0,41.0
2015,Reading,8,6651,18.0,25.0
2019,Math,4,6992,24.0,32.0
2020,Reading,7,1476,361.0,546.0
2021,Reading,3,1082,80.0,100.0
2025,Math,10,4689,35.0,40.0
2025,Math,3,6615,34.0,42.0
2024,Math,8,621,259.0,338.0
2018,Math,4,1737,1470.0,2068.0
2022,Math,11,6990,21.0,42.0
2021,Reading,7,914,23.0,29.0
2024,Math,8,3715,385.0,447.0
2016,Reading,11,5607,23.0,38.0
2018,Reading,3,6867,87.0,108.0
2023,Reading,5,4149,76.0,82.0
2014,Math,8,4599,42.0,50.0
2018,Reading,3,2520,20.0,25.0
2025,Reading,3,5625,60.0,65.0
2025,Math,3,4617,90.0,108.0
2015,Reading,4,6012,31.0,40.0
2023,Math,4,6534,42.0,51.0
2023,Reading,3,2826,87.0,110.0
2023,Reading,3,747,48.0,52.0
2015,Reading,8,1602,26.0,39.0
2025,Reading,6,977,18.0,40.0
2018,Math,11,4536,93.0,138.0
2023,Math,6,6095,46.0,52.0
2021,Math,8,4761,52.0,67.0
2018,Math,11,5877,77.0,93.0
2019,Math,8,4581,297.0,400.0
2025,Math,11,6985,50.0,51.0
2021,Math,8,5160,44.0,57.0
2017,Reading,11,6961,199.0,244.0
2022,Math,11,4581,239.0,356.0
2018,Reading,4,4787,15.0,17.0
2024,Math,11,2295,76.0,78.0
2023,Math,3,6561,24.0,26.0
2019,Math,5,3897,8.0,11.0
2018,Math,6,1337,253.0,289.0
2019,Math,4,5607,44.0,55.0
2025,Math,3,6937,58.0,61.0
2025,Reading,3,6990,39.0,57.0
2024,Reading,4,6120,52.0,65.0
2017,Reading,4,3060,67.0,90.0
2020,Math,8,6138,20.0,29.0
2022,Math,4,3744,37.0,43.0
2018,Reading,6,1218,19.0,21.0
2024,Math,11,3906,39.0,39.0
2019,Math,11,135,97.0,114.0
2021,Math,11,2205,11.0,15.0
2021,Reading,8,4491,19.0,22.0
2025,Math,6,819,37.0,43.0
2017,Reading,5,6985,55.0,72.0
2022,Math,5,4785,25.0,34.0
2016,Math,4,4505,11.0,15.0
2025,Reading,7,1576,136.0,153.0
2018,Math,7,1215,15.0,29.0
2021,Math,6,6175,26.0,39.0
2017,Reading,11,4599,37.0,46.0
2020,Math,4,2403,52.0,56.0
2022,Reading,8,585,37.0,50.0
2017,Reading,4,6093,89.0,110.0
2018,Math,3,3798,28.0,38.0
2025,Math,7,3150,81.0,99.0
2021,Math,11,1116,98.0,124.0
2017,Reading,11,4905,12.0,20.0
2025,Reading,10,873,25.0,29.0
2018,Reading,6,1967,15.0,25.0
2016,Math,11,846,37.0,48.0
2019,Reading,7,5805,67.0,89.0
2018,Math,11,5160,61.0,71.0
2025,Math,4,3816,23.0,39.0
2024,Reading,8,4725,130.0,194.0
2023,Math,3,2403,48.0,51.0
2020,Reading,4,4779,69.0,74.0
2021,Reading,7,4043,31.0,44.0
2021,Reading,11,2556,20.0,22.0
2025,Math,3,2977,42.0,49.0
2023,Math,8,6822,439.0,491.0
2022,Math,5,6512,17.0,20.0
2023,Reading,6,3841,31.0,55.0
2014,Reading,4,3978,14.0,20.0
2025,Reading,3,1116,68.0,92.0
2020,Reading,4,5976,59.0,67.0
2017,Math,4,2556,19.0,19.0
2014,Math,4,4890,51.0,59.0
2017,Math,7,225,249.0,277.0
2023,Reading,6,5166,117.0,146.0
2024,Reading,3,6460,44.0,51.0
2020,Reading,5,4890,51.0,59.0
2022,Reading,5,2349,13.0,15.0
2020,Math,3,729,134.0,161.0
2016,Math,8,3042,63.0,73.0
2022,Math,6,936,48.0,69.0
2015,Reading,4,6768,77.0,104.0
2016,Reading,11,6969,25.0,36.0
2022,Math,11,3060,86.0,99.0
2017,Math,4,234,58.0,68.0
2017,Math,5,1044,271.0,315.0
2014,Reading,11,1965,26.0,32.0
2024,Reading,5,2763,35.0,40.0
2018,Math,11,6100,52.0,60.0
2025,Math,10,4662,70.0,83.0
2023,Math,6,6854,31.0,48.0
2024,Reading,5,2376,24.0,28.0
